Date,Open,High,Low,Close,Volume,Currency,security,ticker_id,class,source
2020-10-09,30.78,31.04,27.56,27.56,0,RUB,Russian VIX,RVI,index,external
2020-10-12,28.58,30.24,26.96,30.18,0,RUB,Russian VIX,RVI,index,external
2020-10-13,30.24,30.53,28.63,29.78,0,RUB,Russian VIX,RVI,index,external
2020-10-14,29.56,30.02,27.13,27.68,0,RUB,Russian VIX,RVI,index,external
2020-10-15,29.1,30.58,28.39,29.09,0,RUB,Russian VIX,RVI,index,external
2020-10-16,29.05,29.28,26.55,27.35,0,RUB,Russian VIX,RVI,index,external
2020-10-19,27.6,28.23,26.96,26.96,0,RUB,Russian VIX,RVI,index,external
2020-10-20,28.13,28.61,27.5,27.9,0,RUB,Russian VIX,RVI,index,external
2020-10-21,28.4,29.06,27.7,29.06,0,RUB,Russian VIX,RVI,index,external
2020-10-22,28.87,29.29,28.3,28.63,0,RUB,Russian VIX,RVI,index,external
2020-10-23,28.62,28.9,26.74,28.89,0,RUB,Russian VIX,RVI,index,external
2020-10-26,29.77,31.4,29.74,31.37,0,RUB,Russian VIX,RVI,index,external
2020-10-27,31.12,31.52,30.66,30.94,0,RUB,Russian VIX,RVI,index,external
2020-10-28,32.67,37.9,32.63,35.61,0,RUB,Russian VIX,RVI,index,external
2020-10-29,37.21,40.48,36.25,38.41,0,RUB,Russian VIX,RVI,index,external
2020-10-30,39.16,40.63,37.78,39.16,0,RUB,Russian VIX,RVI,index,external
2020-11-02,43.17,44.62,42.13,43.14,0,RUB,Russian VIX,RVI,index,external
2020-11-03,42.97,43.51,41.85,42.3,0,RUB,Russian VIX,RVI,index,external
2020-11-05,40.13,40.73,33.64,33.83,0,RUB,Russian VIX,RVI,index,external
2020-11-06,35.68,36.4,33.25,33.39,0,RUB,Russian VIX,RVI,index,external
2020-11-09,33.75,33.78,29.27,31.63,0,RUB,Russian VIX,RVI,index,external
2020-11-10,32.3,32.87,31.03,31.56,0,RUB,Russian VIX,RVI,index,external
2020-11-11,32.69,33.0,31.38,31.52,0,RUB,Russian VIX,RVI,index,external
2020-11-12,31.76,31.91,30.33,30.63,0,RUB,Russian VIX,RVI,index,external
2020-11-13,30.74,31.47,29.91,30.37,0,RUB,Russian VIX,RVI,index,external
2020-11-16,32.46,32.62,30.23,30.27,0,RUB,Russian VIX,RVI,index,external
2020-11-17,30.15,31.59,29.54,29.73,0,RUB,Russian VIX,RVI,index,external
2020-11-18,29.51,29.76,28.22,28.74,0,RUB,Russian VIX,RVI,index,external
2020-11-19,29.8,31.19,29.55,30.29,0,RUB,Russian VIX,RVI,index,external
2020-11-20,29.59,30.3,29.21,29.49,0,RUB,Russian VIX,RVI,index,external
2020-11-23,28.98,30.71,27.78,30.29,0,RUB,Russian VIX,RVI,index,external
2020-11-24,29.13,30.23,28.3,29.01,0,RUB,Russian VIX,RVI,index,external
2020-11-25,29.31,30.19,28.73,30.05,0,RUB,Russian VIX,RVI,index,external
2020-11-26,29.77,30.56,29.13,30.21,0,RUB,Russian VIX,RVI,index,external
2020-11-27,30.23,30.55,29.32,29.98,0,RUB,Russian VIX,RVI,index,external
2020-11-30,30.12,30.57,29.69,29.99,0,RUB,Russian VIX,RVI,index,external
2020-12-01,30.39,31.95,30.0,30.45,0,RUB,Russian VIX,RVI,index,external
2020-12-02,30.2,30.31,28.44,29.16,0,RUB,Russian VIX,RVI,index,external
2020-12-03,29.14,29.57,28.66,29.37,0,RUB,Russian VIX,RVI,index,external
2020-12-04,29.43,29.83,28.87,29.48,0,RUB,Russian VIX,RVI,index,external
2020-12-07,30.47,30.98,29.61,29.74,0,RUB,Russian VIX,RVI,index,external
2020-12-08,30.51,31.27,29.83,30.67,0,RUB,Russian VIX,RVI,index,external
2020-12-09,30.74,31.29,30.08,31.24,0,RUB,Russian VIX,RVI,index,external
2020-12-10,32.15,32.62,30.39,32.62,0,RUB,Russian VIX,RVI,index,external
2020-12-11,32.76,33.67,31.0,31.11,0,RUB,Russian VIX,RVI,index,external
2020-12-14,30.79,32.71,28.73,31.18,0,RUB,Russian VIX,RVI,index,external
2020-12-15,31.58,32.35,29.13,30.32,0,RUB,Russian VIX,RVI,index,external
2020-12-16,31.24,32.13,30.11,30.86,0,RUB,Russian VIX,RVI,index,external
2020-12-17,30.81,31.2,29.84,30.12,0,RUB,Russian VIX,RVI,index,external
2020-12-18,30.4,31.89,30.11,31.28,0,RUB,Russian VIX,RVI,index,external
2020-12-21,32.39,36.33,32.39,36.1,0,RUB,Russian VIX,RVI,index,external
2020-12-22,35.72,36.3,34.58,36.21,0,RUB,Russian VIX,RVI,index,external
2020-12-23,36.78,36.78,33.45,33.88,0,RUB,Russian VIX,RVI,index,external
2020-12-24,34.48,34.98,32.7,33.1,0,RUB,Russian VIX,RVI,index,external
2020-12-25,33.34,33.42,32.09,32.23,0,RUB,Russian VIX,RVI,index,external
2020-12-28,33.1,33.33,31.39,31.45,0,RUB,Russian VIX,RVI,index,external
2020-12-29,31.76,32.35,31.48,32.05,0,RUB,Russian VIX,RVI,index,external
2020-12-30,32.38,33.49,32.13,33.01,0,RUB,Russian VIX,RVI,index,external
2021-01-04,33.28,33.28,30.46,31.56,0,RUB,Russian VIX,RVI,index,external
2021-01-05,33.28,33.98,31.42,32.32,0,RUB,Russian VIX,RVI,index,external
2021-01-06,32.04,32.4,31.12,32.22,0,RUB,Russian VIX,RVI,index,external
2021-01-08,33.23,33.62,31.37,32.5,0,RUB,Russian VIX,RVI,index,external
2021-01-11,35.11,35.7,32.42,34.09,0,RUB,Russian VIX,RVI,index,external
2021-01-12,33.5,34.11,32.59,32.93,0,RUB,Russian VIX,RVI,index,external
2021-01-13,33.46,33.68,31.74,31.94,0,RUB,Russian VIX,RVI,index,external
2021-01-14,32.45,33.14,30.73,30.99,0,RUB,Russian VIX,RVI,index,external
2021-01-15,30.92,31.96,30.62,31.26,0,RUB,Russian VIX,RVI,index,external
2021-01-18,32.81,33.18,31.75,32.83,0,RUB,Russian VIX,RVI,index,external
2021-01-19,32.79,32.91,32.11,32.5,0,RUB,Russian VIX,RVI,index,external
2021-01-20,31.45,31.74,30.49,30.72,0,RUB,Russian VIX,RVI,index,external
2021-01-21,30.7,32.45,30.03,31.47,0,RUB,Russian VIX,RVI,index,external
2021-01-22,31.73,32.78,31.4,31.57,0,RUB,Russian VIX,RVI,index,external
2021-01-25,31.73,32.24,30.32,31.99,0,RUB,Russian VIX,RVI,index,external
2021-01-26,31.97,32.16,31.26,31.74,0,RUB,Russian VIX,RVI,index,external
2021-01-27,31.31,33.33,31.06,32.91,0,RUB,Russian VIX,RVI,index,external
2021-01-28,32.59,33.91,32.36,33.1,0,RUB,Russian VIX,RVI,index,external
2021-01-29,33.24,35.47,33.18,34.46,0,RUB,Russian VIX,RVI,index,external
2021-02-01,34.96,35.62,33.96,34.75,0,RUB,Russian VIX,RVI,index,external
2021-02-02,33.8,33.85,32.84,33.24,0,RUB,Russian VIX,RVI,index,external
2021-02-03,33.28,33.64,33.01,33.07,0,RUB,Russian VIX,RVI,index,external
2021-02-04,33.26,33.51,32.35,32.83,0,RUB,Russian VIX,RVI,index,external
2021-02-05,30.87,31.0,30.03,30.07,0,RUB,Russian VIX,RVI,index,external
2021-02-08,31.39,31.62,30.73,30.78,0,RUB,Russian VIX,RVI,index,external
2021-02-09,30.42,31.32,30.39,31.1,0,RUB,Russian VIX,RVI,index,external
2021-02-10,30.93,31.32,30.08,30.92,0,RUB,Russian VIX,RVI,index,external
2021-02-11,30.76,31.27,29.58,29.94,0,RUB,Russian VIX,RVI,index,external
2021-02-12,30.83,31.51,29.32,29.45,0,RUB,Russian VIX,RVI,index,external
2021-02-15,28.63,30.1,28.44,30.1,0,RUB,Russian VIX,RVI,index,external
2021-02-16,30.3,30.85,29.9,30.48,0,RUB,Russian VIX,RVI,index,external
2021-02-17,30.74,31.97,30.28,31.64,0,RUB,Russian VIX,RVI,index,external
2021-02-18,30.18,32.35,30.09,32.08,0,RUB,Russian VIX,RVI,index,external
2021-02-19,32.21,32.51,30.36,30.53,0,RUB,Russian VIX,RVI,index,external
2021-02-20,30.34,31.52,30.16,31.27,0,RUB,Russian VIX,RVI,index,external
2021-02-22,34.68,35.17,31.67,32.63,0,RUB,Russian VIX,RVI,index,external
2021-02-24,33.21,33.26,31.96,32.63,0,RUB,Russian VIX,RVI,index,external
2021-02-25,30.99,32.12,30.64,31.85,0,RUB,Russian VIX,RVI,index,external
2021-02-26,33.55,34.12,32.13,33.84,0,RUB,Russian VIX,RVI,index,external
2021-03-01,33.34,33.38,32.58,32.63,0,RUB,Russian VIX,RVI,index,external
2021-03-02,32.79,33.16,31.87,31.97,0,RUB,Russian VIX,RVI,index,external
2021-03-03,31.63,31.74,30.52,30.72,0,RUB,Russian VIX,RVI,index,external
2021-03-04,31.24,31.69,30.77,31.18,0,RUB,Russian VIX,RVI,index,external
2021-03-05,33.22,33.73,31.91,32.06,0,RUB,Russian VIX,RVI,index,external
2021-03-09,32.94,32.94,31.04,31.48,0,RUB,Russian VIX,RVI,index,external
2021-03-10,31.65,32.02,30.3,30.43,0,RUB,Russian VIX,RVI,index,external
2021-03-11,30.09,30.87,29.09,30.38,0,RUB,Russian VIX,RVI,index,external
2021-03-12,30.3,30.48,29.8,29.88,0,RUB,Russian VIX,RVI,index,external
2021-03-15,30.03,30.37,28.41,29.77,0,RUB,Russian VIX,RVI,index,external
2021-03-16,29.9,30.04,28.85,29.13,0,RUB,Russian VIX,RVI,index,external
2021-03-17,28.94,33.12,28.88,32.23,0,RUB,Russian VIX,RVI,index,external
2021-03-18,32.14,32.63,31.1,32.26,0,RUB,Russian VIX,RVI,index,external
2021-03-19,33.11,33.28,31.58,32.41,0,RUB,Russian VIX,RVI,index,external
2021-03-22,33.49,33.87,32.56,33.12,0,RUB,Russian VIX,RVI,index,external
2021-03-23,32.55,34.6,32.44,33.95,0,RUB,Russian VIX,RVI,index,external
2021-03-24,34.76,35.02,33.14,33.31,0,RUB,Russian VIX,RVI,index,external
2021-03-25,33.34,34.17,31.95,34.14,0,RUB,Russian VIX,RVI,index,external
2021-03-26,30.53,30.99,30.09,30.24,0,RUB,Russian VIX,RVI,index,external
2021-03-29,31.07,31.29,30.48,31.25,0,RUB,Russian VIX,RVI,index,external
2021-03-30,31.24,31.35,30.83,31.06,0,RUB,Russian VIX,RVI,index,external
2021-03-31,30.76,30.92,29.6,30.14,0,RUB,Russian VIX,RVI,index,external
2021-04-01,30.19,30.67,29.12,30.31,0,RUB,Russian VIX,RVI,index,external
2021-04-02,30.41,30.87,29.93,30.19,0,RUB,Russian VIX,RVI,index,external
2021-04-05,30.9,32.83,30.75,32.42,0,RUB,Russian VIX,RVI,index,external
2021-04-06,31.63,33.99,31.46,33.13,0,RUB,Russian VIX,RVI,index,external
2021-04-07,33.69,34.01,32.14,32.94,0,RUB,Russian VIX,RVI,index,external
2021-04-08,32.73,33.84,31.53,31.68,0,RUB,Russian VIX,RVI,index,external
2021-04-09,32.5,33.52,31.71,31.75,0,RUB,Russian VIX,RVI,index,external
2021-04-12,32.84,33.23,31.44,32.14,0,RUB,Russian VIX,RVI,index,external
2021-04-13,31.16,32.31,29.17,29.89,0,RUB,Russian VIX,RVI,index,external
2021-04-14,29.25,30.35,28.54,28.79,0,RUB,Russian VIX,RVI,index,external
2021-04-15,30.71,31.63,28.68,28.99,0,RUB,Russian VIX,RVI,index,external
2021-04-16,27.62,28.35,26.45,27.32,0,RUB,Russian VIX,RVI,index,external
2021-04-19,28.55,29.86,28.1,29.8,0,RUB,Russian VIX,RVI,index,external
2021-04-20,28.95,31.49,28.13,30.62,0,RUB,Russian VIX,RVI,index,external
2021-04-21,30.66,31.36,30.37,30.48,0,RUB,Russian VIX,RVI,index,external
2021-04-22,30.41,30.7,27.09,27.38,0,RUB,Russian VIX,RVI,index,external
2021-04-23,28.32,28.44,27.42,27.59,0,RUB,Russian VIX,RVI,index,external
2021-04-26,28.28,28.45,27.79,28.16,0,RUB,Russian VIX,RVI,index,external
2021-04-27,28.49,28.55,27.74,28.02,0,RUB,Russian VIX,RVI,index,external
2021-04-28,28.2,28.29,27.18,27.58,0,RUB,Russian VIX,RVI,index,external
2021-04-29,27.52,27.6,26.23,26.25,0,RUB,Russian VIX,RVI,index,external
2021-04-30,26.16,27.79,25.92,27.55,0,RUB,Russian VIX,RVI,index,external
2021-05-04,27.79,27.83,26.7,27.1,0,RUB,Russian VIX,RVI,index,external
2021-05-05,27.3,27.59,26.29,26.38,0,RUB,Russian VIX,RVI,index,external
2021-05-06,26.36,27.03,25.31,25.76,0,RUB,Russian VIX,RVI,index,external
2021-05-07,26.4,26.91,26.17,26.17,0,RUB,Russian VIX,RVI,index,external
2021-05-10,27.17,27.35,26.43,27.25,0,RUB,Russian VIX,RVI,index,external
2021-05-11,27.3,27.48,26.73,27.35,0,RUB,Russian VIX,RVI,index,external
2021-05-12,27.2,27.26,26.37,26.86,0,RUB,Russian VIX,RVI,index,external
2021-05-13,26.18,26.75,25.24,26.42,0,RUB,Russian VIX,RVI,index,external
2021-05-14,27.16,27.62,26.4,26.73,0,RUB,Russian VIX,RVI,index,external
2021-05-17,27.53,27.64,26.34,26.93,0,RUB,Russian VIX,RVI,index,external
